filename,class_label
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_22.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_38.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_46.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_53.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_6.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_70.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_72.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_73.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_74.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_platelet_cluster_chan1_76.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_only_chan1_16.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_only_chan1_33.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_only_chan1_45.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_only_chan1_46.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_only_chan1_49.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_platelet_chan1_3.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_platelet_chan1_43.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_rbc_platelet_chan1_59.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_wbc_chan1_14.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_wbc_chan1_18.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_wbc_chan1_2.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_wbc_chan1_3.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_wbc_chan1_4.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_wbc_chan1_45.png,multi
../dataset/raw_revised_HL/raw/multi/012621_103B_3_wbc_chan1_48.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_platelet_cluster_chan1_10.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_platelet_cluster_chan1_26.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_platelet_cluster_chan1_35.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_platelet_cluster_chan1_54.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_platelet_cluster_chan1_69.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_platelet_cluster_chan1_70.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_platelet_cluster_chan1_71.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_rbc_only_chan1_16.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_rbc_only_chan1_43.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_rbc_only_chan1_5.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_rbc_platelet_chan1_29.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_rbc_platelet_chan1_6.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_rbc_platelet_chan1_8.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_wbc_chan1_34.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_wbc_chan1_35.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_wbc_chan1_4.png,multi
../dataset/raw_revised_HL/raw/multi/012621_105b_9_wbc_chan1_52.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_10.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_13.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_14.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_23.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_37.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_46.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_61.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_74.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_79.png,multi
../dataset/raw_revised_HL/raw/multi/012621_121B_1_platelet_cluster_chan1_82.png,multi
